id,client_id,xp,level,badges,weekly_challenges,streak_current,streak_longest,last_login_date,created_at,updated_at
ef5651ad-340e-4463-8cde-478c6271d376,15fad9b4-bbec-4ac2-a68a-dead475553cb,800,2,"{""module_1"": {""progress"": 1, ""unlocked"": true}, ""all_modules"": {""progress"": 2, ""unlocked"": false}, ""wound_healer"": {""progress"": 12, ""unlocked"": true}, ""first_assessment"": {""progress"": 1, ""unlocked"": true}, ""knowledge_seeker"": {""progress"": 2, ""unlocked"": false}}",[],1,1,2026-02-22,2026-02-22 01:11:48.162645+00,2026-04-06 00:51:43.45+00
f2f61a97-ea69-45c3-bec0-7538587d3546,0dfc6875-7fcf-4522-ad9c-2b4d9bcd6d0e,150,1,"{""wound_healer"": {""progress"": 3, ""unlocked"": true}, ""first_assessment"": {""progress"": 1, ""unlocked"": true}}",[],1,1,2026-02-22,2026-02-22 12:57:01.79226+00,2026-02-24 23:22:46.764+00
2a399080-22e3-40cc-b07e-577e21ef0df4,226ae091-325e-4084-a467-bee2bc8405f6,1230,3,"{""module_1"": {""progress"": 1, ""unlocked"": true}, ""all_modules"": {""progress"": 9, ""unlocked"": true}, ""exercises_10"": {""progress"": 1, ""unlocked"": false}, ""wound_healer"": {""progress"": 6, ""unlocked"": true}, ""first_assessment"": {""progress"": 1, ""unlocked"": true}, ""knowledge_seeker"": {""progress"": 9, ""unlocked"": true}}",[],1,1,2026-02-28,2026-02-20 00:52:31.995605+00,2026-05-07 00:43:22.67+00
0bead5b1-da84-4fdb-9efc-cdc2e8a228a0,d086f303-41a2-4f44-b7c8-34a4d878b0c5,225,1,"{""wound_healer"": {""progress"": 3, ""unlocked"": true}, ""journal_keeper"": {""progress"": 3, ""unlocked"": false}, ""first_assessment"": {""progress"": 1, ""unlocked"": true}}",[],1,1,2026-02-21,2026-02-21 03:26:12.173212+00,2026-03-06 23:26:24.59+00
8033d0ca-79b9-48ac-91f1-3d77cd945416,229e0bbd-bf18-4f4e-869e-8239775ec1ab,400,1,"{""module_1"": {""progress"": 1, ""unlocked"": true}, ""all_modules"": {""progress"": 3, ""unlocked"": false}, ""wound_healer"": {""progress"": 2, ""unlocked"": false}, ""first_assessment"": {""progress"": 1, ""unlocked"": true}, ""knowledge_seeker"": {""progress"": 3, ""unlocked"": false}}",[],1,1,2026-02-20,2026-02-20 05:42:51.23734+00,2026-03-09 03:20:17.026+00
9fef240d-e967-4bee-bd63-52d27d709872,9fc90684-c503-4734-bed9-fb780e6ad271,350,1,"{""wound_healer"": {""progress"": 5, ""unlocked"": true}, ""journal_keeper"": {""progress"": 4, ""unlocked"": false}, ""first_assessment"": {""progress"": 1, ""unlocked"": true}}",[],1,1,2026-02-23,2026-02-23 19:13:37.098085+00,2026-03-09 03:21:38.797+00
8d940aca-5b5e-4ef0-86d8-ee0fdcd8d7a8,1e395a30-ffd9-40b3-bf77-0b9861a54018,150,1,"{""module_1"": {""progress"": 0, ""unlocked"": false}, ""streak_3"": {""progress"": 0, ""unlocked"": false}, ""streak_7"": {""progress"": 0, ""unlocked"": false}, ""streak_30"": {""progress"": 0, ""unlocked"": false}, ""gift_giver"": {""progress"": 0, ""unlocked"": false}, ""all_modules"": {""progress"": 0, ""unlocked"": false}, ""first_login"": {""progress"": 1, ""unlocked"": true}, ""quiz_master"": {""progress"": 0, ""unlocked"": false}, ""self_energy"": {""progress"": 0, ""unlocked"": false}, ""exercises_10"": {""progress"": 0, ""unlocked"": false}, ""wound_healer"": {""progress"": 3, ""unlocked"": true}, ""daily_practice"": {""progress"": 0, ""unlocked"": false}, ""journal_keeper"": {""progress"": 0, ""unlocked"": false}, ""parts_explorer"": {""progress"": 0, ""unlocked"": false}, ""first_assessment"": {""progress"": 1, ""unlocked"": true}, ""knowledge_seeker"": {""progress"": 0, ""unlocked"": false}, ""meditation_master"": {""progress"": 0, ""unlocked"": false}}",[],1,1,2026-02-20,2026-02-20 17:17:36.08551+00,2026-03-02 09:19:49.447+00
3c112982-3aba-4130-8344-50910b0d6302,0fcd4630-b14b-452a-9131-bd0b38d667a5,200,1,"{""wound_healer"": {""progress"": 4, ""unlocked"": true}, ""first_assessment"": {""progress"": 1, ""unlocked"": true}}",[],1,1,2026-05-06,2026-05-06 23:24:35.937564+00,2026-05-06 23:33:58.631+00
